,날짜,마스크,공기청정기
0,2010-01,23.0,12.0
1,2010-02,9.0,14.0
2,2010-03,30.0,6.0
3,2010-04,19.0,10.0
4,2010-05,26.0,3.0
5,2010-06,18.0,8.0
6,2010-07,12.0,4.0
7,2010-08,23.0,6.0
8,2010-09,29.0,8.0
9,2010-10,37.0,10.0
10,2010-11,41.0,15.0
11,2010-12,43.0,10.0
12,2011-01,32.0,12.0
13,2011-02,24.0,4.0
14,2011-03,31.0,8.0
15,2011-04,23.0,9.0
16,2011-05,21.0,10.0
17,2011-06,33.0,13.0
18,2011-07,24.0,8.0
19,2011-08,23.0,6.0
20,2011-09,26.0,6.0
21,2011-10,29.0,8.0
22,2011-11,28.0,7.0
23,2011-12,29.0,6.0
24,2012-01,33.0,7.0
25,2012-02,35.0,6.0
26,2012-03,31.0,9.0
27,2012-04,26.0,5.0
28,2012-05,24.0,7.0
29,2012-06,21.0,5.0
30,2012-07,33.0,4.0
31,2012-08,24.0,4.0
32,2012-09,21.0,3.0
33,2012-10,26.0,7.0
34,2012-11,26.0,7.0
35,2012-12,21.0,6.0
36,2013-01,25.0,6.0
37,2013-02,25.0,6.0
38,2013-03,22.0,9.0
39,2013-04,27.0,6.0
40,2013-05,26.0,8.0
41,2013-06,24.0,5.0
42,2013-07,25.0,4.0
43,2013-08,22.0,4.0
44,2013-09,27.0,4.0
45,2013-10,30.0,6.0
46,2013-11,30.0,8.0
47,2013-12,31.0,11.0
48,2014-01,34.0,10.0
49,2014-02,40.0,17.0
50,2014-03,34.0,15.0
51,2014-04,32.0,10.0
52,2014-05,34.0,11.0
53,2014-06,28.0,8.0
54,2014-07,31.0,4.0
55,2014-08,31.0,4.0
56,2014-09,27.0,5.0
57,2014-10,27.0,8.0
58,2014-11,35.0,8.0
59,2014-12,32.0,11.0
60,2015-01,30.0,6.0
61,2015-02,39.0,10.0
62,2015-03,39.0,18.0
63,2015-04,35.0,12.0
64,2015-05,33.0,9.0
65,2015-06,100.0,8.0
66,2015-07,32.0,7.0
67,2015-08,33.0,6.0
68,2015-09,36.0,6.0
69,2015-10,40.0,13.0
70,2015-11,41.0,12.0
71,2015-12,43.0,11.0
0,2016-01,3.08035,13.85728
1,2016-02,2.65619,13.81619
2,2016-03,4.33375,23.53706
3,2016-04,6.72437,30.52168
4,2016-05,2.55232,18.69957
5,2016-06,1.81876,25.80174
6,2016-07,1.5713,18.73976
7,2016-08,7.26619,4.78938
8,2016-09,3.64566,7.49706
9,2016-10,3.24807,9.0868
10,2016-11,4.88977,11.51608
11,2016-12,5.51449,11.35475
12,2017-01,4.09664,12.02578
13,2017-02,4.84762,10.49572
14,2017-03,6.38572,25.12638
15,2017-04,5.33467,31.58883
16,2017-05,6.24593,90.98654
17,2017-06,2.02112,10.85117
18,2017-07,1.76479,8.61776
19,2017-08,1.94223,7.26766
20,2017-09,10.62711,12.11429
21,2017-10,3.85224,11.59878
22,2017-11,5.65728,14.61502
23,2017-12,5.42186,14.38615
24,2018-01,7.51401,32.94241
25,2018-02,3.64793,17.57946
26,2018-03,22.4338,100.0
27,2018-04,6.20891,53.93264
28,2018-05,3.16685,26.50076
29,2018-06,2.11443,13.16042
30,2018-07,8.65282,8.75242
31,2018-08,3.24954,6.72369
32,2018-09,4.45764,7.58103
33,2018-10,4.24915,11.97519
34,2018-11,7.69034,29.28169
35,2018-12,6.39395,17.50505
36,2019-01,12.79156,47.22934
37,2019-02,3.99974,21.91913
38,2019-03,20.11103,93.97311
39,2019-04,4.15087,19.27539
40,2019-05,3.72413,17.90365
41,2019-06,1.94376,10.81426
42,2019-07,1.85689,9.46248
43,2019-08,3.54913,10.29146
44,2019-09,2.22301,10.17803
45,2019-10,5.10058,15.61077
46,2019-11,4.60032,17.15721
47,2019-12,5.8579,19.67478
