,날짜,행정구역,항목,미세먼지배출량
0,1999,전국,배출원대분류 합계,63251176.0
1,1999,전국,에너지산업 연소,7065726.0
2,1999,전국,비산업 연소,2762921.0
3,1999,전국,제조업 연소,19619204.0
4,1999,전국,생산공정,5667079.0
5,1999,전국,도로이동오염원,20619459.0
6,1999,전국,비도로이동오염원,7463292.0
7,1999,전국,폐기물처리,53494.0
8,1999,서울특별시,배출원대분류 합계,3188632.0
9,1999,서울특별시,에너지산업 연소,15381.0
10,1999,서울특별시,비산업 연소,483436.0
11,1999,서울특별시,제조업 연소,7593.0
12,1999,서울특별시,도로이동오염원,2281189.0
13,1999,서울특별시,비도로이동오염원,399060.0
14,1999,서울특별시,폐기물처리,1972.0
15,1999,부산광역시,배출원대분류 합계,3046823.0
16,1999,부산광역시,에너지산업 연소,908767.0
17,1999,부산광역시,비산업 연소,102287.0
18,1999,부산광역시,제조업 연소,244834.0
19,1999,부산광역시,생산공정,63682.0
20,1999,부산광역시,도로이동오염원,1127129.0
21,1999,부산광역시,비도로이동오염원,595666.0
22,1999,부산광역시,폐기물처리,4457.0
23,1999,대구광역시,배출원대분류 합계,3757061.0
24,1999,대구광역시,에너지산업 연소,1779086.0
25,1999,대구광역시,비산업 연소,184328.0
26,1999,대구광역시,제조업 연소,809523.0
27,1999,대구광역시,생산공정,7728.0
28,1999,대구광역시,도로이동오염원,843600.0
29,1999,대구광역시,비도로이동오염원,130562.0
30,1999,대구광역시,폐기물처리,2234.0
31,1999,인천광역시,배출원대분류 합계,1775946.0
32,1999,인천광역시,에너지산업 연소,125810.0
33,1999,인천광역시,비산업 연소,72016.0
34,1999,인천광역시,제조업 연소,525647.0
35,1999,인천광역시,생산공정,106978.0
36,1999,인천광역시,도로이동오염원,612872.0
37,1999,인천광역시,비도로이동오염원,330439.0
38,1999,인천광역시,폐기물처리,2183.0
39,1999,광주광역시,배출원대분류 합계,576855.0
40,1999,광주광역시,비산업 연소,64120.0
41,1999,광주광역시,제조업 연소,4867.0
42,1999,광주광역시,생산공정,7571.0
43,1999,광주광역시,도로이동오염원,407214.0
44,1999,광주광역시,비도로이동오염원,92722.0
45,1999,광주광역시,폐기물처리,361.0
46,1999,대전광역시,배출원대분류 합계,778204.0
47,1999,대전광역시,에너지산업 연소,2965.0
48,1999,대전광역시,비산업 연소,75429.0
49,1999,대전광역시,제조업 연소,12436.0
50,1999,대전광역시,생산공정,5263.0
51,1999,대전광역시,도로이동오염원,564049.0
52,1999,대전광역시,비도로이동오염원,112130.0
53,1999,대전광역시,폐기물처리,5932.0
54,1999,울산광역시,배출원대분류 합계,9379802.0
55,1999,울산광역시,에너지산업 연소,846472.0
56,1999,울산광역시,비산업 연소,334795.0
57,1999,울산광역시,제조업 연소,6461266.0
58,1999,울산광역시,생산공정,991651.0
59,1999,울산광역시,도로이동오염원,431325.0
60,1999,울산광역시,비도로이동오염원,313158.0
61,1999,울산광역시,폐기물처리,1135.0
62,1999,경기도,배출원대분류 합계,7765332.0
63,1999,경기도,에너지산업 연소,302188.0
64,1999,경기도,비산업 연소,409467.0
65,1999,경기도,제조업 연소,1281021.0
66,1999,경기도,생산공정,111532.0
67,1999,경기도,도로이동오염원,4080451.0
68,1999,경기도,비도로이동오염원,1567861.0
69,1999,경기도,폐기물처리,12813.0
70,1999,강원도,배출원대분류 합계,6853139.0
71,1999,강원도,에너지산업 연소,454877.0
72,1999,강원도,비산업 연소,145468.0
73,1999,강원도,제조업 연소,5017993.0
74,1999,강원도,생산공정,2798.0
75,1999,강원도,도로이동오염원,936145.0
76,1999,강원도,비도로이동오염원,295373.0
77,1999,강원도,폐기물처리,485.0
78,1999,충청북도,배출원대분류 합계,4839388.0
79,1999,충청북도,에너지산업 연소,78.0
80,1999,충청북도,비산업 연소,103677.0
81,1999,충청북도,제조업 연소,2828371.0
82,1999,충청북도,생산공정,97953.0
83,1999,충청북도,도로이동오염원,1450464.0
84,1999,충청북도,비도로이동오염원,354919.0
85,1999,충청북도,폐기물처리,3926.0
86,1999,충청남도,배출원대분류 합계,3880687.0
87,1999,충청남도,에너지산업 연소,1562094.0
88,1999,충청남도,비산업 연소,123500.0
89,1999,충청남도,제조업 연소,93649.0
90,1999,충청남도,생산공정,183265.0
91,1999,충청남도,도로이동오염원,1352981.0
92,1999,충청남도,비도로이동오염원,562476.0
93,1999,충청남도,폐기물처리,2722.0
94,1999,전라북도,배출원대분류 합계,1983331.0
95,1999,전라북도,에너지산업 연소,17670.0
96,1999,전라북도,비산업 연소,139173.0
97,1999,전라북도,제조업 연소,100634.0
98,1999,전라북도,생산공정,68994.0
99,1999,전라북도,도로이동오염원,1247514.0
100,1999,전라북도,비도로이동오염원,402505.0
101,1999,전라북도,폐기물처리,6841.0
102,1999,전라남도,배출원대분류 합계,4593852.0
103,1999,전라남도,에너지산업 연소,173515.0
104,1999,전라남도,비산업 연소,134832.0
105,1999,전라남도,제조업 연소,889483.0
106,1999,전라남도,생산공정,1258113.0
107,1999,전라남도,도로이동오염원,1350653.0
108,1999,전라남도,비도로이동오염원,784838.0
109,1999,전라남도,폐기물처리,2417.0
110,1999,경상북도,배출원대분류 합계,7112581.0
111,1999,경상북도,에너지산업 연소,13706.0
112,1999,경상북도,비산업 연소,170302.0
