,풍속,정온,북,북북동,북동,동북동,동,동남동,남동,남남동,남,남남서,남서,서남서,서,서북서,북서,북북서,합계,w_sum,날짜
3,합계,1.6,1.6,9.0,14.5,4.3,1.5,0.4,0.3,0.3,0.5,2.4,5.2,5.6,20.6,21.7,7.5,3.1,100.0,66.1,2014-01
3,합계,2.6,2.5,6.6,13.8,21.2,2.6,0.6,0.2,0.3,0.5,1.2,1.5,4.3,16.4,16.6,6.8,2.3,100.0,49.099999999999994,2014-02
4,합계,2.6,1.1,3.4,7.4,6.6,2.3,1.1,0.7,0.9,1.9,4.2,11.3,14.1,21.5,15.3,4.3,1.5,100.0,72.2,2014-03
4,합계,3.1,0.4,3.5,11.3,11.5,1.8,1.7,0.6,1.1,0.7,3.1,8.1,13.6,23.1,11.6,2.9,1.8,100.0,64.2,2014-04
4,합계,2.3,0.7,1.9,6.2,4.3,2.4,2.0,1.3,1.2,2.0,5.4,15.9,20.8,22.4,8.6,1.6,0.9,100.0,75.6,2014-05
3,합계,1.7,1.5,4.0,9.3,15.1,1.9,1.3,0.8,0.4,1.1,2.9,8.6,12.4,23.6,11.4,1.8,2.1,100.0,62.8,2014-06
4,합계,1.3,1.3,4.2,10.9,7.0,2.3,2.4,2.7,3.4,2.7,8.1,15.6,11.2,15.6,8.9,1.6,0.9,100.0,61.9,2014-07
3,합계,5.8,1.5,4.0,15.9,28.4,3.8,0.9,0.8,0.3,0.7,1.9,6.3,6.7,10.5,8.3,2.2,2.2,100.0,38.10000000000001,2014-08
3,합계,5.0,2.1,6.4,17.9,22.2,2.8,1.5,1.3,0.8,1.1,1.3,3.1,5.6,13.6,9.9,2.9,2.6,100.0,39.0,2014-09
4,합계,3.2,0.5,8.5,21.0,28.6,3.2,1.2,0.8,0.4,0.7,1.2,4.0,3.8,12.4,6.5,3.1,0.9,100.0,31.9,2014-10
4,합계,5.1,1.9,7.8,13.3,14.6,1.8,0.8,0.1,0.3,0.6,3.2,3.8,6.4,18.3,15.6,5.1,1.3,100.0,53.7,2014-11
4,합계,2.1,0.0,5.9,14.3,8.0,0.7,0.1,0.4,0.3,0.1,1.5,2.6,5.9,21.0,25.7,7.9,3.4,100.0,68.00000000000001,2014-12
3,합계,2.2,0.7,6.3,10.2,12.8,1.9,0.0,0.3,0.1,0.5,2.7,3.7,6.9,21.9,21.1,5.7,2.9,100.0,64.9,2015-01
3,합계,2.2,0.4,5.1,6.7,11.2,2.8,0.3,0.1,0.1,0.6,1.9,6.9,10.9,26.9,16.6,5.2,1.8,100.0,70.2,2015-02
4,합계,2.3,1.5,3.1,6.6,6.7,1.9,0.1,0.3,0.4,0.7,3.5,8.3,14.7,28.5,16.3,3.0,2.3,100.0,76.6,2015-03
4,합계,2.2,0.7,3.8,15.1,21.9,4.9,1.1,1.0,0.7,1.1,3.2,7.6,11.9,14.6,7.2,1.8,1.1,100.0,47.400000000000006,2015-04
4,합계,4.4,0.3,3.5,6.5,3.5,2.2,0.8,0.4,0.5,0.4,3.5,16.5,19.5,25.3,8.7,2.7,1.3,100.0,77.5,2015-05
3,합계,2.8,1.7,3.2,10.8,9.4,2.9,1.9,2.1,3.1,1.5,3.9,8.1,12.4,19.0,11.4,2.9,2.9,100.0,60.599999999999994,2015-06
4,합계,1.7,0.7,2.4,8.6,21.4,2.4,1.7,2.0,1.6,1.9,8.7,14.0,10.2,11.7,7.7,2.3,0.9,100.0,55.49999999999999,2015-07
3,합계,3.6,3.4,6.2,14.7,11.3,1.9,0.8,0.8,1.1,2.0,6.0,9.3,6.5,12.6,11.3,5.9,2.7,100.0,54.300000000000004,2015-08
3,합계,3.3,1.5,6.3,18.9,24.9,5.4,1.4,2.1,1.4,1.0,2.1,2.2,5.0,10.8,9.7,2.9,1.1,100.0,33.800000000000004,2015-09
3,합계,5.6,1.1,6.6,9.1,8.2,1.7,0.9,0.9,0.1,0.7,3.4,9.0,9.8,18.0,15.2,6.5,3.1,100.0,65.0,2015-10
3,합계,3.3,2.4,8.2,11.3,33.9,2.8,0.4,0.6,0.3,0.6,0.6,0.7,3.1,9.3,13.9,6.3,2.6,100.0,36.5,2015-11
3,합계,2.3,4.7,10.2,9.7,12.1,7.3,9.4,3.8,3.8,0.5,1.5,0.8,4.0,8.9,9.9,4.8,6.3,100.0,36.2,2015-12
4,합계,3.5,7.7,7.8,11.3,5.6,9.7,4.3,2.8,1.7,0.0,0.8,1.5,0.9,2.7,5.1,17.6,16.9,100.0,45.5,2016-01
3,합계,1.9,4.7,2.3,1.6,4.2,5.9,7.2,2.9,0.6,0.0,0.4,0.6,3.0,6.0,14.9,24.6,19.3,100.0,68.8,2016-02
3,합계,1.3,6.6,3.1,2.0,3.9,5.9,6.3,1.3,2.2,1.2,1.3,1.3,5.8,8.6,8.7,23.3,17.1,100.0,66.1,2016-03
3,합계,4.2,0.8,0.7,0.4,6.0,9.6,11.0,3.2,1.8,1.5,2.6,1.9,7.2,9.4,11.5,21.8,6.3,100.0,60.7,2016-04
4,합계,2.7,1.9,4.0,5.9,5.2,4.2,2.4,3.1,3.0,2.2,5.0,6.6,13.2,17.7,14.2,5.6,3.1,100.0,65.4,2016-05
3,합계,3.1,1.9,4.9,6.8,3.8,1.9,2.4,1.3,2.5,2.9,9.0,8.2,12.8,25.1,9.4,2.5,1.5,100.0,68.5,2016-06
3,합계,3.0,1.9,3.4,9.4,8.7,3.0,2.0,2.6,2.3,4.6,13.8,8.5,8.9,15.5,9.9,2.0,0.7,100.0,59.300000000000004,2016-07
3,합계,3.5,4.4,8.2,13.8,9.3,1.2,0.7,0.5,1.2,0.9,1.9,3.2,7.7,17.6,14.9,7.1,3.8,100.0,56.2,2016-08
3,합계,4.0,3.3,10.3,22.1,19.3,3.6,2.5,1.9,0.7,0.7,3.3,1.8,3.2,10.4,8.1,2.5,2.2,100.0,31.500000000000004,2016-09
3,합계,2.1,4.2,6.9,15.8,7.1,2.8,0.7,0.6,1.5,2.9,6.8,3.6,5.4,14.3,16.4,6.4,2.5,100.0,55.4,2016-10
