,날짜,서울황사일수
0,1958-01,0
1,1958-02,0
2,1958-03,1
3,1958-04,0
4,1958-05,0
5,1958-06,0
6,1958-07,0
7,1958-08,0
8,1958-09,0
9,1958-10,0
10,1958-11,0
11,1958-12,0
12,1959-01,0
13,1959-02,0
14,1959-03,0
15,1959-04,0
16,1959-05,0
17,1959-06,0
18,1959-07,0
19,1959-08,0
20,1959-09,0
21,1959-10,0
22,1959-11,0
23,1959-12,0
24,1960-01,0
25,1960-02,0
26,1960-03,1
27,1960-04,0
28,1960-05,1
29,1960-06,0
30,1960-07,0
31,1960-08,0
32,1960-09,0
33,1960-10,0
34,1960-11,0
35,1960-12,0
36,1961-01,0
37,1961-02,0
38,1961-03,0
39,1961-04,0
40,1961-05,0
41,1961-06,0
42,1961-07,0
43,1961-08,0
44,1961-09,0
45,1961-10,0
46,1961-11,0
47,1961-12,0
48,1962-01,0
49,1962-02,0
50,1962-03,0
51,1962-04,0
52,1962-05,4
53,1962-06,0
54,1962-07,0
55,1962-08,0
56,1962-09,0
57,1962-10,0
58,1962-11,0
59,1962-12,0
60,1963-01,0
61,1963-02,0
62,1963-03,0
63,1963-04,0
64,1963-05,0
65,1963-06,0
66,1963-07,0
67,1963-08,0
68,1963-09,0
69,1963-10,0
70,1963-11,0
71,1963-12,0
72,1964-01,0
73,1964-02,0
74,1964-03,0
75,1964-04,0
76,1964-05,0
77,1964-06,0
78,1964-07,0
79,1964-08,0
80,1964-09,0
81,1964-10,0
82,1964-11,0
83,1964-12,0
84,1965-01,0
85,1965-02,0
86,1965-03,0
87,1965-04,1
88,1965-05,0
89,1965-06,0
90,1965-07,0
91,1965-08,0
92,1965-09,0
93,1965-10,0
94,1965-11,2
95,1965-12,1
96,1966-01,0
97,1966-02,1
98,1966-03,0
99,1966-04,2
100,1966-05,0
101,1966-06,0
102,1966-07,0
103,1966-08,0
104,1966-09,0
105,1966-10,0
106,1966-11,0
107,1966-12,0
108,1967-01,0
109,1967-02,0
110,1967-03,3
111,1967-04,1
112,1967-05,0
113,1967-06,0
114,1967-07,0
115,1967-08,0
116,1967-09,0
117,1967-10,0
118,1967-11,0
119,1967-12,0
120,1968-01,0
121,1968-02,0
122,1968-03,0
123,1968-04,3
124,1968-05,1
125,1968-06,0
126,1968-07,0
