,날짜,국가,소비,점유율
0,1995,대한민국,94.8,2.9
1,1995,중국,160.2,4.9
2,1996,대한민국,101.4,3.0
3,1996,중국,175.7,5.2
4,1997,대한민국,111.4,3.2
5,1997,중국,192.2,5.6
6,1998,대한민국,89.6,2.7
7,1998,중국,197.1,5.7
8,1999,대한민국,96.1,2.8
9,1999,중국,209.3,5.9
10,2000,대한민국,98.4,2.9
11,2000,중국,224.2,6.3
12,2001,대한민국,98.5,2.9
13,2001,중국,229.1,6.3
14,2002,대한민국,100.3,2.9
15,2002,중국,247.9,6.8
16,2003,대한민국,101.2,2.9
17,2003,중국,276.3,7.3
18,2004,대한민국,100.3,2.7
19,2004,중국,322.6,8.2
20,2005,대한민국,100.6,2.7
21,2005,중국,327.9,8.4
22,2006,대한민국,100.6,2.6
23,2006,중국,351.8,9.0
24,2007,대한민국,103.1,2.7
25,2007,중국,369.2,9.2
26,2008,대한민국,98.0,2.6
27,2008,중국,376.3,9.4
28,2009,대한민국,99.3,2.6
29,2009,중국,391.0,10.0
30,2010,대한민국,101.6,2.6
31,2010,중국,446.3,10.9
32,2011,대한민국,102.2,2.6
33,2011,중국,462.4,11.4
34,2012,대한민국,105.2,2.6
35,2012,중국,484.2,11.8
36,2013,대한민국,105.0,2.6
37,2013,중국,505.0,12.1
38,2014,대한민국,104.4,2.6
39,2014,중국,524.9,12.4
40,2015,대한민국,109.2,2.6
41,2015,중국,568.0,12.9
42,2016,대한민국,117.9,2.8
43,2016,중국,586.7,13.1
44,2017,대한민국,118.9,2.7
45,2017,중국,614.2,13.3
46,2018,대한민국,117.8,2.7
47,2018,중국,633.7,13.9
48,2019,대한민국,116.4,2.7
49,2019,중국,654.3,14.6
50,2020,대한민국,110.6,2.8
51,2020,중국,669.2,16.7
