,날짜,매우 나쁨,나쁨,bad_sum
0,2014-01,4,17,21
1,2014-02,9,7,16
2,2014-03,5,15,20
3,2014-04,4,21,25
4,2014-05,0,19,19
5,2014-06,0,4,4
6,2014-07,0,8,8
7,2014-08,0,7,7
8,2014-09,0,7,7
9,2014-10,5,10,15
10,2014-11,7,8,15
11,2014-12,2,11,13
0,2015-01,2,19,21
1,2015-02,4,11,15
2,2015-03,7,17,24
3,2015-04,2,16,18
4,2015-05,0,10,10
5,2015-06,0,9,9
6,2015-07,0,10,10
7,2015-08,0,7,7
8,2015-09,0,7,7
9,2015-10,3,6,9
10,2015-11,5,8,13
11,2015-12,11,6,17
0,2016-01,0,10,10
1,2016-02,0,2,2
2,2016-03,5,13,18
3,2016-04,2,13,15
4,2016-05,2,0,2
5,2016-06,0,1,1
6,2016-07,0,6,6
7,2016-08,0,3,3
8,2016-09,0,10,10
9,2016-10,0,13,13
10,2016-11,3,16,19
11,2016-12,4,14,18
0,2017-01,5,7,12
1,2017-02,2,6,8
2,2017-03,1,10,11
3,2017-04,0,14,14
4,2017-05,2,13,15
5,2017-06,0,6,6
6,2017-07,0,6,6
7,2017-08,0,2,2
8,2017-09,0,13,13
9,2017-10,0,3,3
10,2017-11,0,7,7
11,2017-12,0,3,3
0,2018-01,0,6,6
1,2018-02,0,7,7
2,2018-03,1,12,13
3,2018-04,0,16,16
4,2018-05,0,12,12
5,2018-06,0,2,2
6,2018-07,0,1,1
7,2018-08,0,0,0
8,2018-09,0,1,1
9,2018-10,0,6,6
10,2018-11,1,9,10
11,2018-12,0,5,5
0,2019-01,2,5,7
1,2019-02,0,5,5
2,2019-03,0,8,8
3,2019-04,1,8,9
4,2019-05,1,6,7
5,2019-06,0,0,0
6,2019-07,0,0,0
7,2019-08,0,0,0
8,2019-09,0,0,0
9,2019-10,0,3,3
10,2019-11,0,5,5
11,2019-12,0,5,5
0,2020-01,0,3,3
1,2020-02,1,1,2
2,2020-03,0,1,1
3,2020-04,0,7,7
4,2020-05,0,4,4
5,2020-06,1,3,4
6,2020-07,0,0,0
7,2020-08,0,0,0
8,2020-09,0,0,0
9,2020-10,1,6,7
10,2020-11,0,8,8
11,2020-12,0,2,2
0,2021-01,1,6,7
1,2021-02,0,5,5
2,2021-03,6,12,18
3,2021-04,2,4,6
4,2021-05,2,2,4
5,2021-06,0,0,0
6,2021-07,0,0,0
7,2021-08,0,0,0
8,2021-09,0,0,0
9,2021-10,0,2,2
10,2021-11,0,5,5
11,2021-12,0,0,0
