네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 건강/취미
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 50대

"날짜","건강/취미"
"2021-07-09",21
"2021-07-10",36
"2021-07-11",42
"2021-07-12",32
"2021-07-13",24
"2021-07-14",34
"2021-07-15",24
"2021-07-16",31
"2021-07-17",32
"2021-07-18",35
"2021-07-19",43
"2021-07-20",37
"2021-07-21",33
"2021-07-22",33
"2021-07-23",31
"2021-07-24",29
"2021-07-25",32
"2021-07-26",41
"2021-07-27",52
"2021-07-28",21
"2021-07-29",43
"2021-07-30",28
"2021-07-31",26
"2021-08-01",33
"2021-08-02",38
"2021-08-03",38
"2021-08-04",21
"2021-08-05",41
"2021-08-06",37
"2021-08-07",34
"2021-08-08",34
"2021-08-09",41
"2021-08-10",33
"2021-08-11",29
"2021-08-12",21
"2021-08-13",28
"2021-08-14",26
"2021-08-15",24
"2021-08-16",18
"2021-08-17",26
"2021-08-18",31
"2021-08-19",34
"2021-08-20",41
"2021-08-21",30
"2021-08-22",31
"2021-08-23",39
"2021-08-24",48
"2021-08-25",35
"2021-08-26",38
"2021-08-27",33
"2021-08-28",42
"2021-08-29",41
"2021-08-30",35
"2021-08-31",31
"2021-09-01",58
"2021-09-02",49
"2021-09-03",36
"2021-09-04",33
"2021-09-05",42
"2021-09-06",35
"2021-09-07",40
"2021-09-08",28
"2021-09-09",35
"2021-09-10",38
"2021-09-11",18
"2021-09-12",26
"2021-09-13",28
"2021-09-14",44
"2021-09-15",37
"2021-09-16",37
"2021-09-17",33
"2021-09-18",20
"2021-09-19",28
"2021-09-20",20
"2021-09-21",40
"2021-09-22",38
"2021-09-23",27
"2021-09-24",44
"2021-09-25",56
"2021-09-26",43
"2021-09-27",32
"2021-09-28",38
"2021-09-29",36
"2021-09-30",34
"2021-10-01",44
"2021-10-02",36
"2021-10-03",43
"2021-10-04",49
"2021-10-05",53
"2021-10-06",48
"2021-10-07",47
"2021-10-08",54
"2021-10-09",39
"2021-10-10",60
"2021-10-11",54
"2021-10-12",38
"2021-10-13",43
"2021-10-14",53
"2021-10-15",61
"2021-10-16",48
"2021-10-17",41
"2021-10-18",50
"2021-10-19",48
"2021-10-20",65
"2021-10-21",72
"2021-10-22",41
"2021-10-23",29
"2021-10-24",36
"2021-10-25",38
"2021-10-26",53
"2021-10-27",32
"2021-10-28",57
"2021-10-29",38
"2021-10-30",27
"2021-10-31",51
"2021-11-01",44
"2021-11-02",53
"2021-11-03",56
"2021-11-04",43
"2021-11-05",41
"2021-11-06",41
"2021-11-07",41
"2021-11-08",46
"2021-11-09",44
"2021-11-10",48
"2021-11-11",46
"2021-11-12",43
"2021-11-13",44
"2021-11-14",53
"2021-11-15",59
"2021-11-16",52
"2021-11-17",38
"2021-11-18",41
"2021-11-19",46
"2021-11-20",43
"2021-11-21",46
"2021-11-22",57
"2021-11-23",61
"2021-11-24",53
"2021-11-25",62
"2021-11-26",43
"2021-11-27",42
"2021-11-28",53
"2021-11-29",43
"2021-11-30",48
"2021-12-01",64
"2021-12-02",54
"2021-12-03",53
"2021-12-04",59
"2021-12-05",68
"2021-12-06",59
"2021-12-07",66
"2021-12-08",55
"2021-12-09",58
"2021-12-10",56
"2021-12-11",64
"2021-12-12",59
"2021-12-13",40
"2021-12-14",45
"2021-12-15",65
"2021-12-16",54
"2021-12-17",39
"2021-12-18",43
"2021-12-19",51
"2021-12-20",57
"2021-12-21",56
"2021-12-22",49
"2021-12-23",71
"2021-12-24",54
"2021-12-25",54
"2021-12-26",61
"2021-12-27",56
"2021-12-28",70
"2021-12-29",66
"2021-12-30",46
"2021-12-31",44
"2022-01-01",56
"2022-01-02",66
"2022-01-03",91
"2022-01-04",66
"2022-01-05",65
"2022-01-06",55
"2022-01-07",65
"2022-01-08",56
"2022-01-09",64
"2022-01-10",54
"2022-01-11",49
"2022-01-12",77
"2022-01-13",62
"2022-01-14",100
"2022-01-15",69
"2022-01-16",95
"2022-01-17",69
"2022-01-18",66
"2022-01-19",75
"2022-01-20",73
"2022-01-21",87
"2022-01-22",62
"2022-01-23",81
"2022-01-24",57
"2022-01-25",50
"2022-01-26",49
"2022-01-27",44
"2022-01-28",44
"2022-01-29",30
"2022-01-30",53
"2022-01-31",43
"2022-02-01",55
"2022-02-02",64
"2022-02-03",53
"2022-02-04",58
"2022-02-05",47
"2022-02-06",74
"2022-02-07",79
"2022-02-08",48
"2022-02-09",65
"2022-02-10",47
"2022-02-11",43
"2022-02-12",50
"2022-02-13",66
"2022-02-14",61
"2022-02-15",54
"2022-02-16",63
"2022-02-17",46
"2022-02-18",50
"2022-02-19",45
"2022-02-20",46
"2022-02-21",43
"2022-02-22",72
"2022-02-23",49
"2022-02-24",46
"2022-02-25",41
"2022-02-26",51
"2022-02-27",37
"2022-02-28",38
"2022-03-01",56
"2022-03-02",75
"2022-03-03",63
"2022-03-04",49
"2022-03-05",62
"2022-03-06",64
"2022-03-07",83
"2022-03-08",68
"2022-03-09",62
"2022-03-10",39
"2022-03-11",48
"2022-03-12",66
"2022-03-13",64
"2022-03-14",57
"2022-03-15",65
"2022-03-16",39
"2022-03-17",46
"2022-03-18",52
"2022-03-19",61
"2022-03-20",68
"2022-03-21",57
"2022-03-22",74
"2022-03-23",61
"2022-03-24",59
"2022-03-25",57
"2022-03-26",54
"2022-03-27",48
"2022-03-28",59
"2022-03-29",61
"2022-03-30",51
"2022-03-31",70
"2022-04-01",66
"2022-04-02",52
"2022-04-03",48
"2022-04-04",48
"2022-04-05",46
"2022-04-06",54
"2022-04-07",56
"2022-04-08",48
"2022-04-09",46
"2022-04-10",46
"2022-04-11",46
"2022-04-12",59
"2022-04-13",54
"2022-04-14",56
"2022-04-15",41
"2022-04-16",48
"2022-04-17",38
"2022-04-18",56
"2022-04-19",53
"2022-04-20",33
"2022-04-21",71
"2022-04-22",37
"2022-04-23",36
"2022-04-24",48
"2022-04-25",39
"2022-04-26",45
"2022-04-27",71
"2022-04-28",38
"2022-04-29",48
"2022-04-30",54
"2022-05-01",54
"2022-05-02",59
"2022-05-03",55
"2022-05-04",54
"2022-05-05",51
"2022-05-06",44
"2022-05-07",34
"2022-05-08",45
