네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 건강/취미
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 60대이상

"날짜","건강/취미"
"2021-07-09",25
"2021-07-10",36
"2021-07-11",44
"2021-07-12",34
"2021-07-13",26
"2021-07-14",30
"2021-07-15",34
"2021-07-16",34
"2021-07-17",17
"2021-07-18",27
"2021-07-19",23
"2021-07-20",51
"2021-07-21",25
"2021-07-22",22
"2021-07-23",36
"2021-07-24",27
"2021-07-25",40
"2021-07-26",18
"2021-07-27",22
"2021-07-28",22
"2021-07-29",47
"2021-07-30",19
"2021-07-31",35
"2021-08-01",25
"2021-08-02",29
"2021-08-03",23
"2021-08-04",31
"2021-08-05",29
"2021-08-06",26
"2021-08-07",19
"2021-08-08",34
"2021-08-09",22
"2021-08-10",23
"2021-08-11",26
"2021-08-12",43
"2021-08-13",22
"2021-08-14",48
"2021-08-15",18
"2021-08-16",18
"2021-08-17",16
"2021-08-18",19
"2021-08-19",26
"2021-08-20",27
"2021-08-21",34
"2021-08-22",21
"2021-08-23",34
"2021-08-24",35
"2021-08-25",40
"2021-08-26",30
"2021-08-27",44
"2021-08-28",43
"2021-08-29",21
"2021-08-30",19
"2021-08-31",34
"2021-09-01",23
"2021-09-02",55
"2021-09-03",49
"2021-09-04",22
"2021-09-05",26
"2021-09-06",48
"2021-09-07",56
"2021-09-08",31
"2021-09-09",29
"2021-09-10",23
"2021-09-11",31
"2021-09-12",16
"2021-09-13",22
"2021-09-14",39
"2021-09-15",32
"2021-09-16",30
"2021-09-17",26
"2021-09-18",14
"2021-09-19",35
"2021-09-20",21
"2021-09-21",26
"2021-09-22",19
"2021-09-23",34
"2021-09-24",45
"2021-09-25",17
"2021-09-26",44
"2021-09-27",19
"2021-09-28",56
"2021-09-29",36
"2021-09-30",25
"2021-10-01",51
"2021-10-02",30
"2021-10-03",39
"2021-10-04",44
"2021-10-05",40
"2021-10-06",42
"2021-10-07",56
"2021-10-08",51
"2021-10-09",38
"2021-10-10",58
"2021-10-11",42
"2021-10-12",31
"2021-10-13",31
"2021-10-14",29
"2021-10-15",29
"2021-10-16",38
"2021-10-17",36
"2021-10-18",18
"2021-10-19",53
"2021-10-20",57
"2021-10-21",42
"2021-10-22",34
"2021-10-23",44
"2021-10-24",23
"2021-10-25",30
"2021-10-26",18
"2021-10-27",38
"2021-10-28",58
"2021-10-29",43
"2021-10-30",34
"2021-10-31",58
"2021-11-01",56
"2021-11-02",44
"2021-11-03",43
"2021-11-04",38
"2021-11-05",62
"2021-11-06",35
"2021-11-07",31
"2021-11-08",48
"2021-11-09",21
"2021-11-10",30
"2021-11-11",31
"2021-11-12",51
"2021-11-13",26
"2021-11-14",27
"2021-11-15",52
"2021-11-16",21
"2021-11-17",45
"2021-11-18",29
"2021-11-19",22
"2021-11-20",38
"2021-11-21",38
"2021-11-22",34
"2021-11-23",48
"2021-11-24",73
"2021-11-25",57
"2021-11-26",45
"2021-11-27",40
"2021-11-28",52
"2021-11-29",17
"2021-11-30",48
"2021-12-01",40
"2021-12-02",78
"2021-12-03",47
"2021-12-04",68
"2021-12-05",57
"2021-12-06",66
"2021-12-07",43
"2021-12-08",53
"2021-12-09",73
"2021-12-10",47
"2021-12-11",52
"2021-12-12",100
"2021-12-13",42
"2021-12-14",34
"2021-12-15",94
"2021-12-16",49
"2021-12-17",51
"2021-12-18",45
"2021-12-19",49
"2021-12-20",74
"2021-12-21",49
"2021-12-22",74
"2021-12-23",45
"2021-12-24",43
"2021-12-25",51
"2021-12-26",82
"2021-12-27",64
"2021-12-28",68
"2021-12-29",74
"2021-12-30",62
"2021-12-31",61
"2022-01-01",52
"2022-01-02",96
"2022-01-03",69
"2022-01-04",68
"2022-01-05",52
"2022-01-06",64
"2022-01-07",83
"2022-01-08",53
"2022-01-09",65
"2022-01-10",68
"2022-01-11",48
"2022-01-12",84
"2022-01-13",55
"2022-01-14",79
"2022-01-15",64
"2022-01-16",84
"2022-01-17",74
"2022-01-18",70
"2022-01-19",66
"2022-01-20",68
"2022-01-21",52
"2022-01-22",78
"2022-01-23",47
"2022-01-24",51
"2022-01-25",70
"2022-01-26",66
"2022-01-27",42
"2022-01-28",61
"2022-01-29",55
"2022-01-30",45
"2022-01-31",47
"2022-02-01",49
"2022-02-02",90
"2022-02-03",40
"2022-02-04",31
"2022-02-05",99
"2022-02-06",62
"2022-02-07",75
"2022-02-08",43
"2022-02-09",52
"2022-02-10",38
"2022-02-11",31
"2022-02-12",35
"2022-02-13",43
"2022-02-14",57
"2022-02-15",70
"2022-02-16",60
"2022-02-17",45
"2022-02-18",49
"2022-02-19",52
"2022-02-20",61
"2022-02-21",60
"2022-02-22",69
"2022-02-23",70
"2022-02-24",65
"2022-02-25",52
"2022-02-26",53
"2022-02-27",51
"2022-02-28",44
"2022-03-01",94
"2022-03-02",58
"2022-03-03",51
"2022-03-04",60
"2022-03-05",35
"2022-03-06",57
"2022-03-07",48
"2022-03-08",49
"2022-03-09",38
"2022-03-10",55
"2022-03-11",35
"2022-03-12",39
"2022-03-13",53
"2022-03-14",64
"2022-03-15",53
"2022-03-16",60
"2022-03-17",44
"2022-03-18",69
"2022-03-19",38
"2022-03-20",40
"2022-03-21",66
"2022-03-22",31
"2022-03-23",48
"2022-03-24",39
"2022-03-25",45
"2022-03-26",53
"2022-03-27",52
"2022-03-28",38
"2022-03-29",43
"2022-03-30",58
"2022-03-31",74
"2022-04-01",44
"2022-04-02",53
"2022-04-03",51
"2022-04-04",42
"2022-04-05",53
"2022-04-06",70
"2022-04-07",44
"2022-04-08",44
"2022-04-09",34
"2022-04-10",27
"2022-04-11",42
"2022-04-12",62
"2022-04-13",43
