네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 건강/취미
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 60대이상

"날짜","건강/취미"
"2021-07-09",17
"2021-07-10",17
"2021-07-11",15
"2021-07-12",20
"2021-07-13",20
"2021-07-14",22
"2021-07-15",17
"2021-07-16",12
"2021-07-17",16
"2021-07-18",14
"2021-07-19",22
"2021-07-20",20
"2021-07-21",11
"2021-07-22",19
"2021-07-23",22
"2021-07-24",22
"2021-07-25",20
"2021-07-26",20
"2021-07-27",23
"2021-07-28",15
"2021-07-29",28
"2021-07-30",16
"2021-07-31",14
"2021-08-01",23
"2021-08-02",22
"2021-08-03",16
"2021-08-04",20
"2021-08-05",29
"2021-08-06",28
"2021-08-07",19
"2021-08-08",14
"2021-08-09",7
"2021-08-10",17
"2021-08-11",14
"2021-08-12",17
"2021-08-13",15
"2021-08-14",20
"2021-08-15",20
"2021-08-16",15
"2021-08-17",14
"2021-08-18",17
"2021-08-19",12
"2021-08-20",11
"2021-08-21",22
"2021-08-22",17
"2021-08-23",20
"2021-08-24",28
"2021-08-25",17
"2021-08-26",17
"2021-08-27",29
"2021-08-28",30
"2021-08-29",11
"2021-08-30",29
"2021-08-31",16
"2021-09-01",31
"2021-09-02",20
"2021-09-03",13
"2021-09-04",16
"2021-09-05",19
"2021-09-06",11
"2021-09-07",12
"2021-09-08",20
"2021-09-09",19
"2021-09-10",16
"2021-09-11",17
"2021-09-12",11
"2021-09-13",7
"2021-09-14",23
"2021-09-15",20
"2021-09-16",13
"2021-09-17",19
"2021-09-18",13
"2021-09-19",15
"2021-09-20",12
"2021-09-21",14
"2021-09-22",29
"2021-09-23",23
"2021-09-24",24
"2021-09-25",19
"2021-09-26",11
"2021-09-27",9
"2021-09-28",25
"2021-09-29",19
"2021-09-30",13
"2021-10-01",26
"2021-10-02",15
"2021-10-03",16
"2021-10-04",32
"2021-10-05",24
"2021-10-06",25
"2021-10-07",34
"2021-10-08",17
"2021-10-09",16
"2021-10-10",19
"2021-10-11",29
"2021-10-12",20
"2021-10-13",19
"2021-10-14",24
"2021-10-15",21
"2021-10-16",25
"2021-10-17",26
"2021-10-18",29
"2021-10-19",14
"2021-10-20",19
"2021-10-21",17
"2021-10-22",10
"2021-10-23",18
"2021-10-24",19
"2021-10-25",16
"2021-10-26",26
"2021-10-27",17
"2021-10-28",24
"2021-10-29",22
"2021-10-30",17
"2021-10-31",19
"2021-11-01",29
"2021-11-02",19
"2021-11-03",19
"2021-11-04",26
"2021-11-05",22
"2021-11-06",21
"2021-11-07",21
"2021-11-08",29
"2021-11-09",29
"2021-11-10",19
"2021-11-11",16
"2021-11-12",20
"2021-11-13",30
"2021-11-14",31
"2021-11-15",30
"2021-11-16",25
"2021-11-17",29
"2021-11-18",22
"2021-11-19",37
"2021-11-20",29
"2021-11-21",23
"2021-11-22",28
"2021-11-23",32
"2021-11-24",36
"2021-11-25",44
"2021-11-26",25
"2021-11-27",29
"2021-11-28",35
"2021-11-29",31
"2021-11-30",39
"2021-12-01",42
"2021-12-02",28
"2021-12-03",53
"2021-12-04",28
"2021-12-05",40
"2021-12-06",37
"2021-12-07",29
"2021-12-08",46
"2021-12-09",35
"2021-12-10",39
"2021-12-11",29
"2021-12-12",46
"2021-12-13",42
"2021-12-14",42
"2021-12-15",67
"2021-12-16",67
"2021-12-17",45
"2021-12-18",69
"2021-12-19",44
"2021-12-20",32
"2021-12-21",43
"2021-12-22",39
"2021-12-23",46
"2021-12-24",34
"2021-12-25",29
"2021-12-26",28
"2021-12-27",53
"2021-12-28",40
"2021-12-29",43
"2021-12-30",51
"2021-12-31",35
"2022-01-01",34
"2022-01-02",41
"2022-01-03",49
"2022-01-04",39
"2022-01-05",33
"2022-01-06",37
"2022-01-07",29
"2022-01-08",53
"2022-01-09",57
"2022-01-10",56
"2022-01-11",53
"2022-01-12",56
"2022-01-13",58
"2022-01-14",100
"2022-01-15",37
"2022-01-16",74
"2022-01-17",46
"2022-01-18",32
"2022-01-19",39
"2022-01-20",46
"2022-01-21",37
"2022-01-22",53
"2022-01-23",40
"2022-01-24",53
"2022-01-25",40
"2022-01-26",47
"2022-01-27",52
"2022-01-28",34
"2022-01-29",41
"2022-01-30",31
"2022-01-31",21
"2022-02-01",64
"2022-02-02",66
"2022-02-03",50
"2022-02-04",36
"2022-02-05",28
"2022-02-06",30
"2022-02-07",50
"2022-02-08",53
"2022-02-09",43
"2022-02-10",32
"2022-02-11",50
"2022-02-12",54
"2022-02-13",37
"2022-02-14",29
"2022-02-15",65
"2022-02-16",58
"2022-02-17",31
"2022-02-18",32
"2022-02-19",30
"2022-02-20",34
"2022-02-21",35
"2022-02-22",41
"2022-02-23",53
"2022-02-24",26
"2022-02-25",35
"2022-02-26",28
"2022-02-27",28
"2022-02-28",25
"2022-03-01",45
"2022-03-02",54
"2022-03-03",34
"2022-03-04",38
"2022-03-05",40
"2022-03-06",44
"2022-03-07",39
"2022-03-08",36
"2022-03-09",31
"2022-03-10",29
"2022-03-11",43
"2022-03-12",40
"2022-03-13",54
"2022-03-14",37
"2022-03-15",37
"2022-03-16",34
"2022-03-17",36
"2022-03-18",37
"2022-03-19",40
"2022-03-20",26
"2022-03-21",32
"2022-03-22",40
"2022-03-23",31
"2022-03-24",38
"2022-03-25",35
"2022-03-26",32
"2022-03-27",37
"2022-03-28",45
"2022-03-29",46
"2022-03-30",38
"2022-03-31",40
"2022-04-01",24
"2022-04-02",32
"2022-04-03",26
"2022-04-04",43
"2022-04-05",31
"2022-04-06",41
"2022-04-07",22
"2022-04-08",47
"2022-04-09",33
"2022-04-10",20
"2022-04-11",25
"2022-04-12",31
"2022-04-13",34
"2022-04-14",26
"2022-04-15",29
"2022-04-16",31
"2022-04-17",18
"2022-04-18",35
"2022-04-19",31
"2022-04-20",32
"2022-04-21",40
"2022-04-22",38
"2022-04-23",29
"2022-04-24",23
"2022-04-25",26
"2022-04-26",38
"2022-04-27",20
"2022-04-28",42
"2022-04-29",28
"2022-04-30",32
"2022-05-01",37
"2022-05-02",23
"2022-05-03",41
"2022-05-04",32
"2022-05-05",54
"2022-05-06",31
"2022-05-07",32
"2022-05-08",53
"2022-05-09",31
"2022-05-10",29
"2022-05-11",50
"2022-05-12",29
"2022-05-13",44
"2022-05-14",26
"2022-05-15",36
"2022-05-16",44
"2022-05-17",49
"2022-05-18",35
"2022-05-19",41
"2022-05-20",17
"2022-05-21",12
"2022-05-22",26
"2022-05-23",39
"2022-05-24",31
"2022-05-25",34
"2022-05-26",26
"2022-05-27",25
"2022-05-28",33
"2022-05-29",28
"2022-05-30",44
"2022-05-31",34
"2022-06-01",35
"2022-06-02",29
"2022-06-03",29
"2022-06-04",22
"2022-06-05",29
"2022-06-06",38
"2022-06-07",60
"2022-06-08",37
"2022-06-09",24
"2022-06-10",27
"2022-06-11",32
"2022-06-12",38
"2022-06-13",34
"2022-06-14",38
"2022-06-15",35
"2022-06-16",35
"2022-06-17",32
"2022-06-18",38
"2022-06-19",35
"2022-06-20",62
"2022-06-21",41
"2022-06-22",56
"2022-06-23",34
"2022-06-24",37
"2022-06-25",42
"2022-06-26",36
"2022-06-27",34
"2022-06-28",49
"2022-06-29",37
"2022-06-30",47
"2022-07-01",28
"2022-07-02",31
"2022-07-03",37
"2022-07-04",38
"2022-07-05",25
"2022-07-06",59
"2022-07-07",38
"2022-07-08",5
"2022-07-09",0
