"성별",2019.01,2019.01,2019.01,2019.01,2019.01,2019.01,2019.01,2019.01,2019.02,2019.02,2019.02,2019.02,2019.02,2019.02,2019.02,2019.02,2019.03,2019.03,2019.03,2019.03,2019.03,2019.03,2019.03,2019.03,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.05,2019.05,2019.05,2019.05,2019.05,2019.05,2019.05,2019.05,2019.06,2019.06,2019.06,2019.06,2019.06,2019.06,2019.06,2019.06,2019.07,2019.07,2019.07,2019.07,2019.07,2019.07,2019.07,2019.07,2019.08,2019.08,2019.08,2019.08,2019.08,2019.08,2019.08,2019.08,2019.09,2019.09,2019.09,2019.09,2019.09,2019.09,2019.09,2019.09,2019.10,2019.10,2019.10,2019.10,2019.10,2019.10,2019.10,2019.10,2019.11,2019.11,2019.11,2019.11,2019.11,2019.11,2019.11,2019.11,2019.12,2019.12,2019.12,2019.12,2019.12,2019.12,2019.12,2019.12,2020.01,2020.01,2020.01,2020.01,2020.01,2020.01,2020.01,2020.01,2020.02,2020.02,2020.02,2020.02,2020.02,2020.02,2020.02,2020.02,2020.03,2020.03,2020.03,2020.03,2020.03,2020.03,2020.03,2020.03,2020.04,2020.04,2020.04,2020.04,2020.04,2020.04,2020.04,2020.04,2020.05,2020.05,2020.05,2020.05,2020.05,2020.05,2020.05,2020.05,2020.06,2020.06,2020.06,2020.06,2020.06,2020.06,2020.06,2020.06,2020.07,2020.07,2020.07,2020.07,2020.07,2020.07,2020.07,2020.07,2020.08,2020.08,2020.08,2020.08,2020.08,2020.08,2020.08,2020.08,2020.09,2020.09,2020.09,2020.09,2020.09,2020.09,2020.09,2020.09,2020.10,2020.10,2020.10,2020.10,2020.10,2020.10,2020.10,2020.10,2020.11,2020.11,2020.11,2020.11,2020.11,2020.11,2020.11,2020.11,2020.12,2020.12,2020.12,2020.12,2020.12,2020.12,2020.12,2020.12,2021.01,2021.01,2021.01,2021.01,2021.01,2021.01,2021.01,2021.01,2021.02,2021.02,2021.02,2021.02,2021.02,2021.02,2021.02,2021.02,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.04,2021.04,2021.04,2021.04,2021.04,2021.04,2021.04,2021.04,2021.05,2021.05,2021.05,2021.05,2021.05,2021.05,2021.05,2021.05,2021.06,2021.06,2021.06,2021.06,2021.06,2021.06,2021.06,2021.06,2021.07,2021.07,2021.07,2021.07,2021.07,2021.07,2021.07,2021.07,2021.08,2021.08,2021.08,2021.08,2021.08,2021.08,2021.08,2021.08,2021.09,2021.09,2021.09,2021.09,2021.09,2021.09,2021.09,2021.09,2021.10,2021.10,2021.10,2021.10,2021.10,2021.10,2021.10,2021.10,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.12,2021.12,2021.12,2021.12,2021.12,2021.12,2021.12,2021.12,2022.01,2022.01,2022.01,2022.01,2022.01,2022.01,2022.01,2022.01,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.05,2022.05,2022.05,2022.05,2022.05,2022.05,2022.05,2022.05,2022.06,2022.06,2022.06,2022.06,2022.06,2022.06,2022.06,2022.06
"성별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%)
"계",44319,27455,26232,1224,16864,61.9,4.5,59.2,44382,27649,26346,1303,16734,62.3,4.7,59.4,44409,28002,26805,1197,16408,63.1,4.3,60.4,44444,28284,27038,1245,16160,63.6,4.4,60.8,44460,28468,27322,1145,15992,64.0,4.0,61.5,44495,28545,27408,1137,15951,64.2,4.0,61.6,44530,28480,27383,1097,16050,64.0,3.9,61.5,44546,28216,27358,858,16330,63.3,3.0,61.4,44573,28288,27404,884,16285,63.5,3.1,61.5,44601,28373,27509,864,16228,63.6,3.0,61.7,44625,28380,27515,866,16245,63.6,3.1,61.7,44661,28095,27154,942,16566,62.9,3.4,60.8,44665,27952,26800,1153,16713,62.6,4.1,60.0,44698,27991,26838,1153,16708,62.6,4.1,60.0,44712,27789,26609,1180,16923,62.2,4.2,59.5,44725,27734,26562,1172,16991,62.0,4.2,59.4,44756,28209,26930,1278,16548,63.0,4.5,60.2,44775,28283,27055,1228,16492,63.2,4.3,60.4,44795,28244,27106,1138,16551,63.1,4.0,60.5,44813,27949,27085,864,16864,62.4,3.1,60.4,44829,28012,27012,1000,16817,62.5,3.6,60.3,44852,28116,27088,1028,16736,62.7,3.7,60.4,44884,28208,27241,967,16675,62.8,3.4,60.7,44916,27661,26526,1135,17255,61.6,4.1,59.1,44968,27388,25818,1570,17580,60.9,5.7,57.4,44987,27718,26365,1353,17269,61.6,4.9,58.6,45007,28138,26923,1215,16869,62.5,4.3,59.8,45027,28361,27214,1147,16667,63.0,4.0,60.4,45049,28698,27550,1148,16351,63.7,4.0,61.2,45068,28730,27637,1093,16339,63.7,3.8,61.3,45090,28568,27648,920,16522,63.4,3.2,61.3,45104,28346,27603,744,16758,62.8,2.6,61.2,45124,28439,27683,756,16685,63.0,2.7,61.3,45148,28528,27741,788,16620,63.2,2.8,61.4,45181,28528,27795,734,16653,63.1,2.6,61.5,45206,28278,27298,979,16929,62.6,3.5,60.4,45200,28096,26953,1143,17104,62.2,4.1,59.6,45213,28356,27402,954,16857,62.7,3.4,60.6,45219,28627,27754,873,16592,63.3,3.0,61.4,45233,28942,28078,864,16291,64.0,3.0,62.1,45245,29374,28485,889,15871,64.9,3.0,63.0,45249,29366,28478,888,15882,64.9,3.0,62.9
"남자",21767,15793,15100,693,5974,72.6,4.4,69.4,21818,15893,15174,720,5925,72.8,4.5,69.5,21833,16073,15363,710,5760,73.6,4.4,70.4,21855,16167,15420,747,5688,74.0,4.6,70.6,21859,16225,15535,690,5634,74.2,4.3,71.1,21882,16238,15560,678,5644,74.2,4.2,71.1,21905,16207,15570,637,5699,74.0,3.9,71.1,21910,16079,15565,514,5831,73.4,3.2,71.0,21926,16080,15539,541,5846,73.3,3.4,70.9,21943,16125,15606,520,5818,73.5,3.2,71.1,21956,16143,15609,534,5813,73.5,3.3,71.1,21981,16051,15515,536,5930,73.0,3.3,70.6,21975,15950,15324,626,6025,72.6,3.9,69.7,21996,15979,15336,643,6017,72.6,4.0,69.7,21999,15945,15282,662,6055,72.5,4.2,69.5,22000,15912,15237,675,6089,72.3,4.2,69.3,22020,16119,15382,737,5902,73.2,4.6,69.9,22028,16125,15431,694,5904,73.2,4.3,70.1,22039,16103,15461,642,5936,73.1,4.0,70.2,22047,15953,15469,484,6094,72.4,3.0,70.2,22053,16018,15430,587,6036,72.6,3.7,70.0,22067,16060,15456,605,6007,72.8,3.8,70.0,22089,16063,15523,540,6025,72.7,3.4,70.3,22112,15838,15244,594,6274,71.6,3.7,68.9,22152,15728,14939,789,6424,71.0,5.0,67.4,22159,15889,15149,739,6270,71.7,4.7,68.4,22167,16099,15417,682,6068,72.6,4.2,69.6,22175,16167,15514,653,6008,72.9,4.0,70.0,22184,16298,15645,653,5886,73.5,4.0,70.5,22192,16281,15667,613,5911,73.4,3.8,70.6,22202,16203,15666,537,5999,73.0,3.3,70.6,22204,16119,15682,437,6085,72.6,2.7,70.6,22213,16144,15697,447,6069,72.7,2.8,70.7,22226,16187,15730,457,6039,72.8,2.8,70.8,22247,16225,15809,416,6022,72.9,2.6,71.1,22261,16148,15655,493,6113,72.5,3.1,70.3,22247,16053,15494,559,6195,72.2,3.5,69.6,22253,16133,15621,512,6120,72.5,3.2,70.2,22253,16279,15805,474,5974,73.2,2.9,71.0,22261,16392,15933,459,5868,73.6,2.8,71.6,22265,16592,16113,479,5673,74.5,2.9,72.4,22262,16592,16109,483,5670,74.5,2.9,72.4
"여자",22552,11662,11132,530,10889,51.7,4.5,49.4,22565,11756,11172,584,10809,52.1,5.0,49.5,22577,11929,11442,487,10648,52.8,4.1,50.7,22589,12117,11619,498,10472,53.6,4.1,51.4,22601,12243,11788,455,10358,54.2,3.7,52.2,22613,12307,11848,460,10306,54.4,3.7,52.4,22625,12274,11813,460,10351,54.2,3.7,52.2,22636,12137,11794,343,10499,53.6,2.8,52.1,22647,12207,11865,342,10440,53.9,2.8,52.4,22658,12248,11903,345,10410,54.1,2.8,52.5,22669,12237,11906,332,10432,54.0,2.7,52.5,22680,12044,11638,406,10636,53.1,3.4,51.3,22691,12002,11476,526,10689,52.9,4.4,50.6,22702,12012,11502,509,10691,52.9,4.2,50.7,22713,11845,11327,517,10869,52.1,4.4,49.9,22724,11822,11325,497,10902,52.0,4.2,49.8,22736,12090,11549,541,10646,53.2,4.5,50.8,22747,12158,11624,534,10589,53.5,4.4,51.1,22756,12141,11645,496,10615,53.4,4.1,51.2,22766,11996,11615,381,10770,52.7,3.2,51.0,22776,11994,11582,413,10782,52.7,3.4,50.9,22785,12056,11633,423,10729,52.9,3.5,51.1,22795,12145,11718,427,10650,53.3,3.5,51.4,22804,11823,11281,542,10981,51.8,4.6,49.5,22816,11660,10879,781,11156,51.1,6.7,47.7,22829,11829,11215,614,10999,51.8,5.2,49.1,22841,12040,11506,534,10801,52.7,4.4,50.4,22853,12194,11699,494,10659,53.4,4.1,51.2,22865,12400,11905,495,10465,54.2,4.0,52.1,22877,12449,11970,479,10428,54.4,3.9,52.3,22888,12366,11983,383,10523,54.0,3.1,52.4,22900,12227,11920,307,10672,53.4,2.5,52.1,22911,12295,11986,309,10616,53.7,2.5,52.3,22923,12341,12011,331,10581,53.8,2.7,52.4,22934,12303,11986,317,10631,53.6,2.6,52.3,22945,12129,11643,486,10816,52.9,4.0,50.7,22952,12043,11458,585,10909,52.5,4.9,49.9,22960,12222,11781,442,10737,53.2,3.6,51.3,22966,12348,11949,399,10618,53.8,3.2,52.0,22973,12550,12145,405,10423,54.6,3.2,52.9,22980,12782,12372,411,10198,55.6,3.2,53.8,22987,12775,12370,405,10212,55.6,3.2,53.8
"농가",2228,1479,1457,23,749,66.4,1.5,65.4,2192,1486,1460,26,706,67.8,1.7,66.6,2171,1602,1585,17,569,73.8,1.0,73.0,2190,1723,1701,22,468,78.6,1.3,77.7,2212,1798,1777,21,415,81.3,1.1,80.3,2197,1802,1779,23,396,82.0,1.3,81.0,2213,1811,1794,16,403,81.8,0.9,81.1,2235,1822,1807,15,413,81.5,0.8,80.8,2276,1854,1838,17,421,81.5,0.9,80.8,2278,1851,1838,13,428,81.2,0.7,80.7,2259,1782,1765,17,477,78.9,1.0,78.1,2263,1600,1571,29,664,70.7,1.8,69.4,2284,1557,1524,34,726,68.2,2.2,66.7,2288,1586,1563,23,702,69.3,1.5,68.3,2284,1724,1701,24,560,75.5,1.4,74.5,2272,1789,1760,29,483,78.7,1.6,77.5,2278,1823,1800,23,455,80.0,1.3,79.0,2313,1851,1824,27,461,80.1,1.5,78.9,2320,1852,1828,24,467,79.8,1.3,78.8,2287,1818,1798,20,468,79.5,1.1,78.6,2289,1828,1804,24,461,79.8,1.3,78.8,2308,1846,1832,14,462,80.0,0.7,79.4,2305,1801,1781,20,504,78.1,1.1,77.2,2278,1614,1582,32,664,70.8,2.0,69.4,2270,1518,1468,50,752,66.9,3.3,64.7,2307,1601,1566,35,706,69.4,2.2,67.9,2307,1732,1706,27,575,75.1,1.5,73.9,2301,1811,1785,26,490,78.7,1.4,77.6,2346,1891,1868,23,455,80.6,1.2,79.6,2360,1924,1905,18,437,81.5,1.0,80.7,2361,1914,1899,15,447,81.1,0.8,80.4,2321,1886,1872,14,435,81.3,0.7,80.7,2345,1892,1880,12,453,80.7,0.6,80.2,2364,1899,1890,9,465,80.3,0.5,80.0,2334,1825,1811,14,509,78.2,0.8,77.6,2291,1644,1614,30,647,71.8,1.8,70.4,2301,1588,1554,34,713,69.0,2.1,67.5,2231,1580,1561,19,651,70.8,1.2,70.0,2299,1750,1733,17,549,76.1,1.0,75.4,2217,1776,1767,9,441,80.1,0.5,79.7,2292,1881,1873,9,411,82.1,0.5,81.7,2281,1895,1880,15,386,83.1,0.8,82.4
"농가남자",1151,872,859,13,279,75.7,1.5,74.6,1136,872,860,11,265,76.7,1.3,75.7,1134,944,932,12,191,83.2,1.2,82.1,1146,984,971,13,162,85.9,1.3,84.7,1155,1006,992,14,149,87.1,1.4,85.8,1146,1007,991,16,138,87.9,1.6,86.5,1154,1012,1003,9,142,87.7,0.9,86.9,1168,1017,1006,11,151,87.1,1.1,86.1,1196,1038,1022,16,158,86.8,1.5,85.4,1196,1033,1024,9,163,86.4,0.9,85.7,1183,1009,993,16,174,85.3,1.6,84.0,1179,945,926,19,233,80.2,2.0,78.6,1189,932,907,25,257,78.4,2.7,76.2,1194,952,936,16,242,79.7,1.7,78.4,1192,1006,991,15,186,84.4,1.5,83.1,1183,1024,1002,22,159,86.5,2.1,84.7,1185,1022,1007,15,163,86.3,1.5,85.0,1200,1034,1015,19,167,86.1,1.8,84.6,1200,1040,1020,20,160,86.7,1.9,85.1,1180,1015,1002,13,165,86.0,1.3,84.9,1174,1021,1007,14,153,87.0,1.3,85.8,1186,1027,1021,7,159,86.6,0.7,86.0,1186,1014,1005,9,172,85.5,0.9,84.8,1173,937,923,14,237,79.8,1.5,78.7,1174,907,885,22,267,77.3,2.4,75.4,1194,947,930,17,247,79.3,1.8,77.9,1204,1015,997,18,189,84.3,1.8,82.8,1202,1034,1017,16,168,86.0,1.6,84.7,1221,1067,1050,17,153,87.4,1.6,86.0,1228,1077,1065,12,151,87.7,1.1,86.7,1227,1075,1067,8,152,87.6,0.8,86.9,1210,1059,1050,9,151,87.5,0.9,86.8,1227,1074,1066,8,153,87.5,0.7,86.9,1232,1072,1067,5,160,87.1,0.5,86.6,1216,1049,1040,9,168,86.2,0.8,85.5,1192,975,964,10,217,81.8,1.1,80.9,1205,951,939,12,255,78.9,1.2,77.9,1162,935,925,10,227,80.5,1.0,79.6,1194,1011,1006,5,183,84.7,0.5,84.3,1143,997,993,4,147,87.2,0.4,86.9,1184,1042,1040,3,142,88.0,0.2,87.8,1185,1057,1048,9,129,89.1,0.9,88.4
"농가여자",1077,607,598,10,469,56.4,1.6,55.5,1056,615,600,15,441,58.2,2.4,56.8,1036,658,653,5,378,63.5,0.8,63.0,1045,739,730,9,306,70.7,1.2,69.9,1057,792,785,6,265,74.9,0.8,74.3,1052,794,787,7,257,75.5,0.9,74.9,1060,799,791,8,261,75.4,0.9,74.7,1066,804,800,4,262,75.4,0.5,75.1,1079,816,816,1,263,75.6,0.1,75.6,1083,818,814,4,265,75.5,0.5,75.2,1076,773,772,1,303,71.8,0.1,71.7,1085,654,645,10,431,60.3,1.5,59.4,1095,626,617,9,469,57.1,1.4,56.4,1094,634,627,7,460,57.9,1.1,57.3,1092,718,710,8,374,65.8,1.2,65.0,1089,765,758,7,324,70.3,0.9,69.6,1093,801,793,8,292,73.3,1.0,72.6,1112,818,809,9,295,73.5,1.1,72.7,1120,812,808,5,308,72.5,0.6,72.1,1107,803,796,8,303,72.6,0.9,71.9,1116,807,796,11,309,72.3,1.3,71.4,1122,819,812,7,303,73.0,0.9,72.4,1119,787,775,12,332,70.3,1.5,69.3,1105,677,659,18,428,61.3,2.7,59.6,1096,611,583,28,485,55.7,4.6,53.2,1112,654,636,18,458,58.8,2.8,57.2,1103,717,709,8,386,65.0,1.1,64.3,1100,777,768,10,322,70.7,1.2,69.8,1126,824,818,6,302,73.2,0.7,72.7,1132,847,840,6,285,74.8,0.7,74.2,1134,839,832,7,295,74.0,0.8,73.4,1111,827,822,5,284,74.4,0.6,74.0,1118,818,814,4,300,73.1,0.5,72.8,1132,827,823,3,305,73.0,0.4,72.7,1118,776,771,5,342,69.5,0.6,69.0,1099,669,650,20,430,60.9,3.0,59.1,1096,638,616,22,458,58.2,3.5,56.2,1070,645,636,9,424,60.3,1.4,59.5,1105,738,727,12,367,66.8,1.6,65.8,1074,780,774,6,294,72.6,0.7,72.1,1107,839,833,6,269,75.8,0.7,75.2,1096,838,832,6,258,76.5,0.7,75.9
"비농가",42091,25976,24775,1201,16115,61.7,4.6,58.9,42191,26163,24886,1277,16028,62.0,4.9,59.0,42238,26400,25220,1180,15838,62.5,4.5,59.7,42253,26561,25337,1223,15692,62.9,4.6,60.0,42248,26670,25546,1125,15578,63.1,4.2,60.5,42298,26743,25629,1114,15555,63.2,4.2,60.6,42316,26670,25589,1081,15647,63.0,4.1,60.5,42311,26395,25552,843,15917,62.4,3.2,60.4,42297,26434,25566,867,15864,62.5,3.3,60.4,42323,26523,25671,852,15800,62.7,3.2,60.7,42366,26599,25750,849,15768,62.8,3.2,60.8,42398,26496,25583,913,15902,62.5,3.4,60.3,42382,26395,25276,1119,15987,62.3,4.2,59.6,42411,26405,25275,1130,16006,62.3,4.3,59.6,42428,26065,24909,1156,16364,61.4,4.4,58.7,42453,25945,24802,1143,16508,61.1,4.4,58.4,42478,26385,25130,1255,16093,62.1,4.8,59.2,42463,26432,25231,1201,16031,62.2,4.5,59.4,42476,26392,25278,1114,16084,62.1,4.2,59.5,42526,26131,25287,844,16396,61.4,3.2,59.5,42540,26184,25208,976,16356,61.6,3.7,59.3,42545,26271,25256,1014,16274,61.7,3.9,59.4,42578,26407,25461,946,16171,62.0,3.6,59.8,42638,26047,24944,1103,16591,61.1,4.2,58.5,42698,25870,24350,1520,16828,60.6,5.9,57.0,42681,26117,24798,1319,16564,61.2,5.0,58.1,42700,26406,25217,1189,16294,61.8,4.5,59.1,42726,26550,25429,1121,16177,62.1,4.2,59.5,42703,26806,25682,1125,15896,62.8,4.2,60.1,42708,26806,25732,1074,15902,62.8,4.0,60.3,42729,26655,25750,905,16074,62.4,3.4,60.3,42783,26460,25731,730,16323,61.8,2.8,60.1,42779,26547,25803,744,16232,62.1,2.8,60.3,42784,26629,25850,779,16155,62.2,2.9,60.4,42847,26704,25984,720,16144,62.3,2.7,60.6,42915,26634,25684,949,16282,62.1,3.6,59.8,42899,26508,25398,1109,16391,61.8,4.2,59.2,42981,26776,25841,935,16206,62.3,3.5,60.1,42921,26878,26021,856,16043,62.6,3.2,60.6,43016,27166,26311,855,15850,63.2,3.1,61.2,42953,27493,26612,881,15461,64.0,3.2,62.0,42967,27471,26599,873,15496,63.9,3.2,61.9
"비농가남자",20616,14921,14241,680,5695,72.4,4.6,69.1,20681,15022,14313,708,5660,72.6,4.7,69.2,20698,15129,14431,699,5569,73.1,4.6,69.7,20709,15183,14449,734,5526,73.3,4.8,69.8,20704,15219,14543,676,5485,73.5,4.4,70.2,20737,15230,14569,662,5506,73.4,4.3,70.3,20752,15195,14567,628,5557,73.2,4.1,70.2,20742,15062,14559,503,5680,72.6,3.3,70.2,20730,15043,14517,526,5687,72.6,3.5,70.0,20748,15092,14582,511,5655,72.7,3.4,70.3,20773,15134,14616,518,5639,72.9,3.4,70.4,20803,15106,14589,517,5697,72.6,3.4,70.1,20786,15018,14417,601,5767,72.3,4.0,69.4,20803,15027,14400,627,5775,72.2,4.2,69.2,20807,14938,14291,647,5869,71.8,4.3,68.7,20818,14888,14235,653,5929,71.5,4.4,68.4,20836,15097,14375,722,5739,72.5,4.8,69.0,20828,15091,14416,675,5737,72.5,4.5,69.2,20839,15063,14441,622,5776,72.3,4.1,69.3,20866,14938,14467,471,5928,71.6,3.2,69.3,20880,14997,14423,574,5883,71.8,3.8,69.1,20881,15033,14435,598,5848,72.0,4.0,69.1,20903,15049,14518,531,5853,72.0,3.5,69.5,20938,14901,14321,580,6037,71.2,3.9,68.4,20978,14821,14054,767,6157,70.7,5.2,67.0,20964,14942,14219,723,6023,71.3,4.8,67.8,20963,15084,14420,663,5879,72.0,4.4,68.8,20973,15133,14497,636,5840,72.2,4.2,69.1,20963,15230,14595,636,5733,72.7,4.2,69.6,20963,15204,14602,601,5760,72.5,4.0,69.7,20975,15128,14599,529,5847,72.1,3.5,69.6,20995,15060,14633,427,5935,71.7,2.8,69.7,20986,15071,14631,439,5916,71.8,2.9,69.7,20994,15114,14663,452,5879,72.0,3.0,69.8,21031,15177,14769,408,5854,72.2,2.7,70.2,21069,15174,14691,483,5896,72.0,3.2,69.7,21042,15102,14555,547,5940,71.8,3.6,69.2,21092,15199,14696,503,5893,72.1,3.3,69.7,21059,15268,14799,469,5792,72.5,3.1,70.3,21117,15396,14940,455,5722,72.9,3.0,70.7,21081,15550,15073,476,5531,73.8,3.1,71.5,21076,15535,15061,474,5541,73.7,3.0,71.5
