특성별(1),특성별(2),특성별(3),항목,전체,국가에서 개발하여 보급하는 교과용 도서,교육청이나 공공기관에서 제작하여 보급하는 교수?학습자료,민간업체나 사설단체에서 제공하는 교수?학습자료,시중에서 판매하는 교수?학습자료,자체 개발한 교수?학습자료,기타
특수학교 교사,소계,소계,대상자수 (명),7976,3652,728,622,652,2201,121
특수학교 교사,소계,소계,비율 (%),100,45.8,9.1,7.8,8.2,27.6,1.5
특수학교 교사,학교과정별,유,대상자수 (명),321,32,26,65,80,114,5
특수학교 교사,학교과정별,유,비율 (%),100,9.8,8.2,20.1,24.9,35.4,1.5
특수학교 교사,학교과정별,초,대상자수 (명),2360,1247,182,193,164,536,37
특수학교 교사,학교과정별,초,비율 (%),100,52.9,7.7,8.2,7,22.7,1.6
특수학교 교사,학교과정별,중,대상자수 (명),2489,1118,247,145,192,737,49
특수학교 교사,학교과정별,중,비율 (%),100,44.9,9.9,5.8,7.7,29.6,2
특수학교 교사,학교과정별,고,대상자수 (명),2806,1255,273,220,215,813,30
특수학교 교사,학교과정별,고,비율 (%),100,44.7,9.7,7.8,7.7,29,1.1
특수학교 교사,장애영역별,시각,대상자수 (명),339,165,42,28,35,68,0
특수학교 교사,장애영역별,시각,비율 (%),100,48.6,12.5,8.4,10.5,20.1,0
특수학교 교사,장애영역별,청각,대상자수 (명),442,193,60,44,41,94,9
특수학교 교사,장애영역별,청각,비율 (%),100,43.8,13.7,10,9.4,21.3,2
특수학교 교사,장애영역별,지적,대상자수 (명),5775,2825,461,403,442,1562,83
특수학교 교사,장애영역별,지적,비율 (%),100,48.9,8,7,7.7,27,1.4
특수학교 교사,장애영역별,지체,대상자수 (명),1037,336,129,112,110,321,30
특수학교 교사,장애영역별,지체,비율 (%),100,32.4,12.4,10.8,10.6,30.9,2.9
특수학교 교사,장애영역별,정서?행동,대상자수 (명),383,134,36,35,23,156,0
특수학교 교사,장애영역별,정서?행동,비율 (%),100,34.9,9.3,9.1,6.1,40.6,0
특수학급 교사,학교과정별,소계,대상자수 (명),12015,4842,1371,683,2861,2030,228
특수학급 교사,학교과정별,소계,비율 (%),100,40.3,11.4,5.7,23.8,16.9,1.9
특수학급 교사,학교과정별,유,대상자수 (명),1091,57,150,158,394,316,16
특수학급 교사,학교과정별,유,비율 (%),100,5.3,13.7,14.4,36.1,29,1.5
특수학급 교사,학교과정별,초,대상자수 (명),6156,3048,699,283,1197,802,126
특수학급 교사,학교과정별,초,비율 (%),100,49.5,11.4,4.6,19.5,13,2.1
특수학급 교사,학교과정별,중,대상자수 (명),2503,948,227,131,741,431,26
특수학급 교사,학교과정별,중,비율 (%),100,37.9,9.1,5.2,29.6,17.2,1
특수학급 교사,학교과정별,고,대상자수 (명),2265,789,295,111,529,481,59
특수학급 교사,학교과정별,고,비율 (%),100,34.8,13,4.9,23.4,21.2,2.6
